ticker,expiration_date,spread_type,short_strike,long_strike,short_premium,long_premium,net_credit,max_loss,risk_reward_ratio,decision_date
TSLL,2025-04-25,Bull Put Spread,17.0,18.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-04-25,Bull Put Spread,18.0,19.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-04-25,Bull Put Spread,19.0,20.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-04-25,Bull Put Spread,20.0,21.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-04-25,Bull Put Spread,21.0,22.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-02,Bear Call Spread,16.0,17.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-02,Bull Put Spread,17.0,18.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-02,Bull Put Spread,19.0,20.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-02,Bull Put Spread,20.0,21.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-09,Bear Call Spread,2.0,3.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-09,Bear Call Spread,3.0,4.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-09,Bull Put Spread,16.0,17.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-09,Bull Put Spread,17.0,18.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-09,Bull Put Spread,18.0,19.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-09,Bull Put Spread,19.0,20.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-09,Bull Put Spread,20.0,21.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-16,Bear Call Spread,1.0,2.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-23,Bear Call Spread,4.0,5.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-05-30,Bull Put Spread,15.0,16.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bear Call Spread,28.7,29.7,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,33.7,34.7,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,34.7,35.7,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,35.7,36.7,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,36.7,37.7,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,37.7,38.7,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,38.7,39.7,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,40.0,41.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,41.0,42.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,42.0,43.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,43.0,44.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,44.0,45.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,45.0,46.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,49.0,50.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
TSLL,2025-06-20,Bull Put Spread,60.0,61.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
