short_leg_id,long_leg_id,ticker,expiration_date,spread_type,short_strike,long_strike,short_premium,long_premium,net_credit,max_loss,risk_reward_ratio,decision_date
84110,176659,TSLL,2025-09-19,Bear Call Spread,37.0,38.0,7.670000076293945,6.673500061035156,0.9965000152587891,0.0034999847412109375,284.7155313351499,2025-04-21
404782,124423,NFLX,2025-05-02,Bull Put Spread,1060.0,1075.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
404993,124626,NFLX,2025-05-16,Bear Call Spread,500.0,515.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
405345,124978,NFLX,2025-05-23,Bull Put Spread,550.0,565.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
405354,124988,NFLX,2025-05-23,Bull Put Spread,610.0,625.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
405432,125054,NFLX,2025-05-30,Bear Call Spread,800.0,815.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
406217,125809,NFLX,2025-08-15,Bear Call Spread,1005.0,1020.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
406382,125974,NFLX,2025-08-15,Bull Put Spread,1005.0,1020.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
406944,126524,NFLX,2025-12-19,Bull Put Spread,160.0,175.0,987.9099731445312,973.030029296875,14.87994384765625,0.12005615234375,123.9415353329944,2025-04-21
77808,263843,TQQQ,2025-04-25,Bear Call Spread,58.5,63.0,45.15999984741211,40.70500183105469,4.454998016357422,0.045001983642578125,98.99559209968636,2025-04-21
217016,123886,NFLX,2025-04-25,Bear Call Spread,530.0,545.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
217019,123889,NFLX,2025-04-25,Bear Call Spread,555.0,570.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
217022,123892,NFLX,2025-04-25,Bear Call Spread,585.0,600.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
217596,124441,NFLX,2025-05-09,Bear Call Spread,700.0,715.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
217602,124447,NFLX,2025-05-09,Bear Call Spread,745.0,760.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
217772,124610,NFLX,2025-05-09,Bull Put Spread,1080.0,1095.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
218065,124902,NFLX,2025-05-23,Bear Call Spread,825.0,840.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
218309,125117,NFLX,2025-05-30,Bull Put Spread,675.0,690.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
218315,125121,NFLX,2025-05-30,Bull Put Spread,725.0,740.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
218370,125170,NFLX,2025-05-30,Bull Put Spread,1085.0,1100.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
218894,125691,NFLX,2025-08-15,Bear Call Spread,390.0,405.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
219050,125848,NFLX,2025-08-15,Bull Put Spread,365.0,380.0,987.7899780273438,973.030029296875,14.75994873046875,0.24005126953125,61.486651411136535,2025-04-21
84556,177110,KRE,2025-04-25,Bear Call Spread,40.0,41.0,51.41999816894531,50.439998626708984,0.9799995422363281,0.020000457763671875,48.99885561701316,2025-04-21
79501,359163,SOXL,2025-05-09,Bear Call Spread,19.5,20.0,9.199999809265137,8.710000038146973,0.48999977111816406,0.010000228881835938,48.99885561701316,2025-04-21
367165,87372,SQQQ,2025-05-16,Bear Call Spread,25.0,28.0,41.4900016784668,38.63999938964844,2.8500022888183594,0.14999771118164062,19.000305180437934,2025-04-21
351971,72511,GLD,2025-05-16,Bull Put Spread,345.0,355.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
352816,73313,GLD,2025-07-18,Bull Put Spread,200.0,210.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
352889,73378,GLD,2025-08-15,Bear Call Spread,205.0,215.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353224,73701,GLD,2025-09-19,Bear Call Spread,390.0,400.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353232,73709,GLD,2025-09-19,Bull Put Spread,140.0,150.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353233,73710,GLD,2025-09-19,Bull Put Spread,150.0,160.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353329,73805,GLD,2025-09-19,Bull Put Spread,350.0,360.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353335,73812,GLD,2025-09-30,Bear Call Spread,185.0,195.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353562,74037,GLD,2025-10-17,Bear Call Spread,240.0,250.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353682,74134,GLD,2025-12-19,Bear Call Spread,150.0,160.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353687,74139,GLD,2025-12-19,Bear Call Spread,200.0,210.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353796,74245,GLD,2025-12-19,Bull Put Spread,170.0,180.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353885,74329,GLD,2025-12-19,Bull Put Spread,340.0,350.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
353892,74335,GLD,2025-12-19,Bull Put Spread,390.0,400.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354071,74502,GLD,2026-01-16,Bear Call Spread,100.0,110.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354075,74506,GLD,2026-01-16,Bear Call Spread,125.0,135.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354078,74509,GLD,2026-01-16,Bear Call Spread,140.0,150.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354622,75033,GLD,2026-06-18,Bear Call Spread,170.0,180.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354745,75151,GLD,2026-06-18,Bull Put Spread,200.0,210.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354815,75220,GLD,2027-01-15,Bear Call Spread,150.0,160.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354816,75222,GLD,2027-01-15,Bear Call Spread,160.0,170.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
354939,75342,GLD,2027-01-15,Bull Put Spread,140.0,150.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
355019,75422,GLD,2027-01-15,Bull Put Spread,335.0,345.0,315.5899963378906,306.1199951171875,9.470001220703125,0.529998779296875,17.8679679852594,2025-04-21
163824,71642,GLD,2025-04-25,Bear Call Spread,210.0,220.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
163827,71645,GLD,2025-04-25,Bear Call Spread,230.0,240.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
164769,72513,GLD,2025-05-16,Bull Put Spread,360.0,370.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
164773,72515,GLD,2025-05-23,Bear Call Spread,240.0,250.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
164852,72590,GLD,2025-05-23,Bear Call Spread,360.0,370.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
164932,72665,GLD,2025-05-30,Bear Call Spread,245.0,255.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
165012,72743,GLD,2025-05-30,Bull Put Spread,220.0,230.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
165322,73047,GLD,2025-06-30,Bear Call Spread,165.0,175.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
165506,73227,GLD,2025-06-30,Bull Put Spread,340.0,350.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
165509,73230,GLD,2025-07-18,Bear Call Spread,225.0,235.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
165510,73231,GLD,2025-07-18,Bear Call Spread,235.0,245.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
165512,73233,GLD,2025-07-18,Bear Call Spread,250.0,260.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
166122,73802,GLD,2025-09-19,Bull Put Spread,320.0,330.0,315.44000244140625,306.1199951171875,9.32000732421875,0.67999267578125,13.706040750381474,2025-04-21
